mp_id,export_kwh_total,export_days_frac,export_to_import_ratio_summer,export_to_import_ratio_winter,export_midday_over_import_summer,export_night_over_import,export_midday_minus_evening_over_import_summer,export_max_kw,export_max_over_mean_import,export_summer_minus_winter_over_import,import_midday_night_ratio_summer,import_midday_night_ratio_winter,import_zero_hours_midday_summer,import_zero_hours_night,import_midday_share_winter_minus_summer,import_min_hour_offset_noon_summer,import_summer_to_winter_ratio,import_daylight_share_summer,import_midday_spread_over_night_summer,import_midday_p05_over_night_summer,n_days,n_summer_days,n_winter_days,has_export_register,has_real_export,export_max_raw_kw,mean_import_kw,n_negative_raw
94732,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.3024,0.4624,0.0141,0.0141,-0.0192,6.0090,0.8565,0.2764,3.0197,0.4219,974,338,331,1,0,0.0000,0.5749,0
94988,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.7825,1.3270,0.0000,0.0000,-0.0047,6.1323,3.0217,0.2221,8.9652,0.0589,974,338,331,1,0,0.0000,3.6155,0
95756,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0912,1.8090,0.0015,0.0000,0.0267,5.3075,0.5715,0.3155,2.2280,0.3739,974,338,331,1,0,0.0000,0.3787,0
96012,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0949,1.4488,0.0740,0.0356,-0.0130,5.8286,0.8229,0.3058,2.4387,0.2917,1004,338,361,1,0,0.0000,0.1602,0
97292,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.2666,0.3075,0.0000,0.0000,-0.0480,5.0810,1.2091,0.2934,2.3599,0.4570,943,338,300,1,0,0.0000,0.3586,0
97548,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.2206,2.3077,0.0000,0.0193,0.0066,5.8531,1.4457,0.3563,5.1025,0.6284,881,338,269,1,0,0.0000,0.1620,0
98060,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.4064,1.3996,0.0000,0.0000,-0.0114,5.3136,0.9952,0.3494,2.2730,0.7492,912,338,269,1,0,0.0000,0.3841,0
98828,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0007,0.0012,7.9985,0.4937,-0.0001,0.9763,0.7957,0.0006,0.0001,0.0006,912,338,269,1,0,0.0000,1.1722,0
99340,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.6582,0.5791,0.9135,1.2454,-0.0220,3.9683,0.8163,0.2655,6.4564,0.4991,883,338,240,1,0,0.0000,0.2379,0
99596,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0777,1.0540,0.0007,0.0000,0.0173,4.8207,0.3535,0.2333,3.3469,0.2680,883,338,240,1,0,0.0000,1.1127,0
