mp_id,export_kwh_total,export_days_frac,export_to_import_ratio_summer,export_to_import_ratio_winter,export_winter_share,export_midday_share_summer,export_night_share,export_mean_hour_summer,export_hour_std_summer,export_max_kw,import_midday_night_ratio_summer,import_midday_night_ratio_winter,import_zero_hours_midday_summer,import_zero_hours_night,import_midday_share_winter_minus_summer,import_min_hour_offset_noon_summer,import_summer_to_winter_ratio,import_daylight_share_summer,import_midday_spread_over_night_summer,import_midday_p05_over_night_summer,n_days,n_summer_days,n_winter_days,has_export_register,has_real_export,export_max_raw_kw,mean_import_kw,n_negative_raw,weather_export_irradiance_corr_summer,weather_sunny_cloudy_export_contrast_summer,weather_export_per_irradiation_summer,weather_midday_import_irradiance_corr_summer,weather_winter_import_temperature_corr,plz,ort,weather_station,weather_station_distance_km,weather_temperature_station,weather_temperature_station_distance_km,weather_common_summer_days,weather_common_winter_days,weather_error,n_filled_features
145687,0.00000,0.00000,0.00000,0.00000,0.50000,0.33333,0.41667,12.00000,6.92820,0.00000,2.51664,2.68360,0.11314,1.80622,0.02251,8.25577,0.73695,0.42330,4.83332,1.45814,396,154,120,1,0,0.00000,0.14231,0,0.00000,0.00000,0.00000,0.15182,-0.18097,5314,Kleindöttingen,BEZ Beznau,1.44603,BEZ Beznau,1.44603,136,119,,7
145943,0.00000,0.00000,0.00000,0.00000,0.50000,0.33333,0.41667,12.00000,6.92820,0.00000,1.17485,1.45120,0.00000,0.00000,0.00746,5.79369,0.96803,0.30340,0.53336,0.91743,396,154,120,1,0,0.00000,0.14242,0,0.00000,0.00000,0.00000,0.16758,-0.00132,4313,Möhlin,MOE Möhlin,2.26388,MOE Möhlin,2.26388,138,120,,7
146199,0.00000,0.00000,0.00000,0.00000,0.50000,0.33333,0.41667,12.00000,6.92820,0.00000,3.64757,4.63196,0.00000,0.00000,-0.01475,6.74607,0.79080,0.42634,6.33628,0.85668,396,154,120,1,0,0.00000,0.48784,0,0.00000,0.00000,0.00000,-0.10109,0.07005,5107,Schinznach Dorf,BUS Buchs / Aarau,8.79924,BUS Buchs / Aarau,8.79924,138,120,,7
146455,0.00000,0.00000,0.00000,0.00000,0.50000,0.33333,0.41667,12.00000,6.92820,0.00000,1.35666,1.52389,0.00000,0.00000,-0.00778,5.37166,0.59760,0.34479,2.38741,0.85709,396,154,120,1,0,0.00000,0.14951,0,0.00000,0.00000,0.00000,-0.16161,-0.10147,4813,Uerkheim,GOE Gösgen,7.18402,GOE Gösgen,7.18402,138,120,,7
146967,0.00000,0.00000,0.00000,0.00000,0.50000,0.33333,0.41667,12.00000,6.92820,0.00000,1.37461,0.75044,0.01154,0.09409,-0.02825,6.11899,0.81486,0.26757,3.97632,0.35108,396,154,120,1,0,0.00000,0.60717,0,0.00000,0.00000,0.00000,-0.03583,0.15953,5076,Bözen,PSI Würenlingen / PSI,11.41022,PSI Würenlingen / PSI,11.41022,130,120,,7
147223,0.00000,0.00000,0.00000,0.00000,0.50000,0.33333,0.41667,12.00000,6.92820,0.00000,1.11697,1.16699,4.00000,2.88899,0.02242,7.47236,0.73111,0.33264,3.67970,0.00000,396,154,120,1,0,0.00000,0.04886,0,0.00000,0.00000,0.00000,-0.09189,0.17669,5312,Döttingen,BEZ Beznau,1.91879,BEZ Beznau,1.91879,93,82,,7
147479,0.00000,0.00000,0.00000,0.00000,0.50000,0.33333,0.41667,12.00000,6.92820,0.00000,2.52990,0.80388,0.00000,0.00802,-0.10859,6.75896,0.18540,0.41900,4.21133,1.11701,396,154,120,1,0,0.00000,0.89337,0,0.00000,0.00000,0.00000,-0.07485,-0.72419,5306,Tegerfelden,BEZ Beznau,3.93874,BEZ Beznau,3.93874,101,120,,7
147735,0.00000,0.00000,0.00000,0.00000,0.50000,0.33333,0.41667,12.00000,6.92820,0.00000,2.00510,2.90726,0.25205,0.18887,0.02310,4.68749,0.44246,0.36749,5.06424,0.84022,396,154,120,1,0,0.00000,0.12480,0,0.00000,0.00000,0.00000,0.08097,0.16640,4813,Uerkheim,GOE Gösgen,7.18402,GOE Gösgen,7.18402,122,120,,7
148503,0.00000,0.00000,0.00000,0.00000,0.50000,0.33333,0.41667,12.00000,6.92820,0.00000,1.07389,1.03313,0.00000,0.00000,-0.01084,4.24617,0.71657,0.29453,1.14655,0.56387,396,154,120,1,0,0.00000,0.12623,0,0.00000,0.00000,0.00000,0.41552,-0.13539,4303,Kaiseraugst,STC St. Chrischona,5.73753,MOE Möhlin,10.99251,106,120,,7
148759,0.00000,0.00000,0.00000,0.00000,0.50000,0.33333,0.41667,12.00000,6.92820,0.00000,1.00000,1.00000,8.00000,8.00000,0.00000,13.00000,1.00000,0.33333,0.00000,1.00000,396,154,120,1,0,0.00000,0.00000,0,0.00000,0.00000,0.00000,0.00000,0.00000,4303,Kaiseraugst,STC St. Chrischona,5.73753,MOE Möhlin,10.99251,99,120,,18
