mp_id,ev_plateau_days_frac,ev_plateau_level_kw,ev_plateau_level_p90_kw,ev_level_consistency,ev_plateau_duration_h,ev_plateau_duration_p90_h,ev_plateau_energy_kwh,ev_plateau_energy_p90_kwh,ev_flat_plateau_days_frac,ev_step_up_kw,ev_start_evening_night_frac,ev_start_hour_spread_h,ev_day_plateau_days_frac,ev_weekend_minus_weekday_frac,ev_gap_days_median,ev_plateau_days_winter_minus_summer,ev_max_over_base_kw,ev_high_hours_per_day,ev_high_energy_share,ev_sessions_per_plateau_day,n_days,n_summer_days,n_winter_days,mean_import_kw,base_kw
168463,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,92.0000,0.0000,0.4714,0.0000,0.0000,0.0000,92,92,0,0.0109,0.0000
168719,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,92.0000,0.0000,2.0657,0.0054,0.0038,0.0000,92,92,0,0.1425,0.0900
169231,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,92.0000,0.0000,2.1370,0.0245,0.0194,0.0000,92,92,0,0.1403,0.0520
169487,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,92.0000,0.0000,3.2578,0.0571,0.0493,0.0000,92,92,0,0.1508,0.0080
169743,0.6087,7.3190,10.3280,0.3750,8.2500,8.6250,61.5783,86.6365,0.0000,6.2260,0.7500,4.1683,0.1522,-0.3124,1.0000,0.0000,20.0442,7.6984,0.5481,1.7857,92,92,0,5.7195,1.0910
169999,0.4508,3.2240,10.5312,0.7636,2.7500,5.0500,9.2110,53.3392,0.2623,2.8000,0.7818,3.5333,0.0984,-0.0541,1.0000,-0.1470,14.1521,1.6701,0.7079,1.1818,122,92,0,1.0500,0.0000
170255,0.0656,2.9650,3.3328,0.7500,1.1250,1.4250,3.3577,4.7387,0.0164,2.3400,0.7500,2.0616,0.0164,-0.0889,7.0000,0.0000,4.4008,0.6967,0.2010,1.2500,61,61,0,0.4053,0.0360
170511,0.0492,2.9580,3.9932,0.3333,1.0000,1.0000,3.5160,4.0120,0.0000,2.4960,1.0000,2.1673,0.0000,0.0181,22.5000,0.0000,5.7472,0.4385,0.0926,1.0000,61,61,0,0.5737,0.2000
170767,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,153.0000,0.0000,0.0461,0.0000,0.0000,0.0000,153,92,0,0.0010,0.0000
171023,0.0082,4.1120,4.1120,1.0000,1.2500,1.2500,4.4470,4.4470,0.0000,2.7240,1.0000,0.0000,0.0000,-0.0114,122.0000,-0.0027,3.9197,0.0164,0.3202,1.0000,122,92,0,0.0182,0.0000
