mp_id,export_kwh_total,export_days_frac,export_to_import_ratio_summer,export_to_import_ratio_winter,export_winter_share,export_midday_share_summer,export_night_share,export_mean_hour_summer,export_hour_std_summer,export_max_kw,import_midday_night_ratio_summer,import_midday_night_ratio_winter,import_zero_hours_midday_summer,import_zero_hours_night,import_midday_share_winter_minus_summer,import_min_hour_offset_noon_summer,import_summer_to_winter_ratio,import_daylight_share_summer,import_midday_spread_over_night_summer,import_midday_p05_over_night_summer,n_days,n_summer_days,n_winter_days,has_export_register,mean_import_kw,n_negative_raw
53628,1.2060,0.0015,0.0000,0.0000,0.0000,0.4935,0.0174,15.9513,3.5566,0.0120,3.1583,2.4769,0.0022,0.0000,-0.0069,7.3204,0.5575,0.4462,9.1303,0.0942,1301,461,420,1,11.5417,1
36616,43167.9219,0.8984,8058.5522,2245.7234,0.2142,0.8163,0.0025,12.0663,2.7638,10.3600,0.0725,0.0474,8.0000,7.7496,0.0035,11.1345,1.0224,0.0237,0.4520,0.0000,1270,461,420,1,0.0003,0
